"Best Movie Year
"	1
"gripping movie purely production film making course stellar
"	1
"Just maybe movie life. Go see amazing. God bless America
"	-1
"know gravity right now phenomenal def worth seeing
"	-1
"Foothill Ranch CA. starring Tom Hanks band non-Disney pirates.
"	-1
"Going cant watch
"	1
"Have seen yet Here article real
"	1
"Saw Fri. somewhat similar Hostage ransom end game panic
"	1
"tears.
"	1
"yep only good far
"	-1
"obviously brilliant Somali unreal. The power play wow
"	1
"final moments. See today
"	1
"have ever actor swear
"	-1
"always big screen Check buzz
"	1
"Just sticker. Check other
"	1
"far movie year
"	1
"watching are watching
"	-1
"Took dad see Wow movie. now hunker bunker
"	1
"Just sticker. Check other
"	1
"Knight
"	1
"far movie year
"	1
"Just spectacular movie incredible performances. wow
"	1
"Navy Navy Seals show movie Bad. Ass. true story. Completely
"	1
"Saw today easily year movies. just awesome. Great tribute US military well
"	1
"Really not wait amazing fair play..
"	-1
"line worthy note sunk sea saga- big steal fish cant fish anymore
"	1
"Will watch. Saw So impressive. Hanks great. Actor playing pirate Muse tremendous
"	1
"Holy amp tense flick even already know ending. Go see weekend.
"	1
"movie
"	-1
"Just movie really appreciate USA military
"	1
"always big screen Check buzz
"	1
"everything gone be Look Look am now
"	-1
"See company Opens nation wide tomorrow. incredible
"	1
"long time Must see
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"Saw So impressive. Hanks great. Actor playing pirate Muse tremendous
"	1
"Seeing Chat now
"	1
"Saw last night. Probably movie have while. I bit not unusual
"	1
"Dad needed quality time
"	-1
"fight piracy. MT seeing piracy not sound life
"	1
"going down great way end date night girl
"	1
"dad.
"	1
"Movie date
"	1
"Shopping cinema dinner Atlantic station Items
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"watch
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"so watch movie
"	-1
"emotional end
"	1
"Just Holy crap excellent
"	1
"interview Somali actor Happening now
"	1
"Ca wait see new movie Look now Awesome job rookie actor
"	1
"seeing bit. Chief
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"Just sticker. Check other
"	1
"mom dad. AND I sitting middle.
"	-1
"Dad cried
"	-1
"fight piracy. MT seeing piracy not sound life
"	1
"Had such good day boyfriend Went shopping ate Thanksgiving dinner family
"	1
"Have love Tom Hanks brilliant actor time. He also uncle bit.
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"seeing let know
"	-1
"new film now are favorite Tom Hanks
"	1
"bye week today so amp are
"	1
"Tom Hanks far favorite
"	1
"totally thrilling not just biased.
"	1
"I have see Wanted see today Got see soon
"	1
"Time
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"Knight
"	1
"you. Yeah talking you. Go see
"	1
"have see Wanted see today Got see soon
"	1
"Double Feature Summer McFadden are just perfection. college Gravity
"	-1
"Screenwriter Billy Ray w adapting big screen. See
"	1
"Alright rock
"	-1
"amazing edge seat Recommended everyone
"	1
"well turn probably have empty seat
"	1
"fight piracy. MT seeing piracy not sound life
"	1
"Watch talk playing Paul film w
"	1
"Well Tom Hanks again
"	1
"Saw today movie ever end. Tom Hanks amazing Oscar
"	1
"Knight
"	1
"Just sticker. Check other
"	1
"Ca wait see tomorrow
"	1
"Movie amp DD
"	1
"Just large pizza Now popcorn
"	1
